,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11
true_0,1829,0,0,0,0,0,159,0,0,0,0,0
true_1,0,1176,0,0,0,0,8,0,0,0,0,0
true_2,0,0,922,0,0,0,99,0,0,4,0,0
true_3,0,0,0,1407,0,0,33,0,0,0,0,0
true_4,0,0,0,0,1289,0,2,0,0,0,0,0
true_5,0,0,0,0,0,994,2,0,0,0,0,0
true_6,0,0,0,0,0,0,1156,0,0,0,0,0
true_7,0,0,0,0,0,0,2,1113,0,0,0,0
true_8,0,0,0,0,0,0,18,0,1146,0,0,0
true_9,0,0,1,0,0,0,12,0,0,1020,0,0
true_10,0,0,0,0,0,0,15,0,0,0,924,0
true_11,0,0,0,0,0,0,3,0,0,0,0,1001
